,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
0,항상 맛있게 먹고 있습니다.,5,2024.03.26.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
1,너무 맛나요 ~ 짜지도 않고 적당해요~~ 다음에 또 구매할게용~,5,2024.03.25.,구매자거주인원 2인싱글유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,꽤 남았어요,꼼꼼해요,맛있어요
2,지인추천으로 사먹고 맛있어서 두통재주문했어요. 집에서 고기먹을때 없으면 서운한 반찬이 되었습니다 ㅎㅎㅎ 이거있으면 고깃집 안부러워요 짜지도않고 아삭아삭한 식감이 중동적입니다. 다먹으면 또 시킬게요,5,2024.03.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
3,"흠..저희 장아찌 좋아해요..근데 궁채에 고구마에서 나오는 길다린 씽?이라고해야하나 뻣빳한 줄기가 있네요.그게 먹는데 좀 불편했어요.그리고 무말랭이는 무가 바람들어간것 같고요,초석잠은 식감이 덜익은 감자 씹는기분이에요.담부턴 걍 궁채만 시킬까싶어요.그래도 짜지않고 맛나긴해요",4,2024.03.25.,구매자거주인원 5인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
4,아삭아삭 너무 짜지도 달지도 않고 맛있네요,5,2024.03.23.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
5,"맛있어요...
도착하자마자 계란후라이하나해서 밥에 먹었어요..
다른반찬 없어도 너무 맛있네요..
포장도 새지않게 아주아주 잘되었어요..
다른것도 시켜야겠어요..
다른 반찬도 있으면 너무 좋겠어요~~^^",5,2024.03.23.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
6,정말 맛있게 먹고있어요~~^^,5,2024.03.23.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
7,너무 맛있어서 계속 주문하는 곳,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
8,저번에 맛있어서 요번에 두통,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
9,맛있어요 근데좀달아요,3,2024.03.22.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
10,식감도 아주 아삭아삭하고 달달 짭잘해서 딱 좋아요. 밑반찬으로 적당합니드,5,2024.03.21.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
11,친정부모님이 잘드셔서서 계속주문하게되네요,5,2024.03.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
12,제 입맛엔 밍밍 했어요 ㅜ,5,2024.03.21.,구매자거주인원 2인신혼/부부맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 2인신혼/부부,평범해요,아주 넉넉해요,꼼꼼해요
13,고기랑 같이 먹기 딱좋아요,5,2024.03.20.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
14,제 입맛엔 달고 짜고 하지만 오독한 식감은 좋네요,4,2024.03.20.,맛 만족도평범해요유통기한임박상품이에요포장적당해요,,평범해요,임박상품이에요,적당해요
15,"맛있어요 주문 다음날 배송되구 아삭하니 맛나요
근데 좀 많이 시큼헤서 신거 못드시는분들은 조금
많이 시다고 할거같아요 ㅎㅎ 제입맛에는 조금 시어요
근데 맛나요 ㅎㅎㅎ",5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
16,저도 저지만 특히 초등학생인 딸이 엄청좋아해요 이번이 두번째구매에2개 했어요^^다먹으면 또구매각입니다^^,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
17,맛있어요.. 조금 저렴하면 좋겠습니다.,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
18,아이도 잘 먹고 있어요,5,2024.03.19.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
19,굿~~~재주문 입니다~~!!,5,2024.03.19.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
20,"고기랑 맛있게 잘먹어요~~
초딩 아들 입맛에도 맛있다고 하네요~~!!",5,2024.03.19.,구매자거주인원 3인영유아 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
21,자주 재구매하는 상품이에요,5,2024.03.16.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
22,진짜맛이습니다ㅋㅋ 또시킬예정 진짜괜찮음,5,2024.03.16.,구매자거주인원 3인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
23,가족모두 너무 맛있게 잘 먹었습니다. 나중엔 아껴먹었어요. 다시 사먹을 예정입니다!!,5,2024.03.16.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,적당해요,맛있어요
24,떨어질때마다 재주문하고 있습니다ㆍ입맛 돋워주는 깔끔한 맛이예요~,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
25,포장도 깔끔히 잘 되어있고 아주 맛있습니다.,5,2024.03.15.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
26,입맛없는 언니한텨 보냈더니 아삭하고 맛있다고 하여 기분 좋았어요,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
27,긍채를 나물로만 먹다가 식당에서 장아찌로 먹어봤더니 괜찮아서 찾아서 주문했네요. 맛있네요,5,2024.03.14.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
28,무조건 재구매 각 입니다,5,2024.03.14.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
29,"온 가족이 좋아해요~~ 꼬마김밥 싸먹을때 넣어주니 아이가 참 잘 먹네요^^
앞으로도 잘 부탁드립니다!!!",5,2024.03.14.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
30,"새콤하고 적당히달달하고 아주아삭하니 너무맛있습니다.
재구매의사있습니다.",5,2024.03.13.,구매자거주인원 4인유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 4인,꽤 남았어요,적당해요,맛있어요
31,고기 먹을때 같이먹으면 맛있어요,5,2024.03.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
32,"우리집 단골메뉴로 늘 주문해서 먹고 있어요
매번 3개씩 주문해서 자취하는 딸들이 하나씩 가져가 먹고 떨어져서 다시 주문합니다~",5,2024.03.13.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
33,궁채 짱아찌를 너무 좋아합니다 잘 먹겠습니다,4,2024.03.12.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
34,오독오독 식감 좋고 맛도 좋아요,5,2024.03.12.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
35,짜지 않고  맛있어서  스파게티나 기름진음식 먹을때 좋아요,5,2024.03.12.,구매자거주인원 4인대가족유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,꼼꼼해요,맛있어요
36,늘 멋던거라~ 지인에게 한통 선물 했는데 너무 맛있다며~~~난리난리네요,5,2024.03.12.,구매자거주인원 2인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,아주 넉넉해요,꼼꼼해요,맛있어요
