,freq
"('맛있다', '먹다')",128
"('맛있다', '좋다')",52
"('맛있다', '주문')",50
"('먹다', '좋다')",47
"('먹다', '자다')",45
"('맛', '먹다')",39
"('맛', '좋다')",37
"('궁채', '먹다')",37
"('궁채', '맛있다')",36
"('먹다', '주문')",34
"('맛있다', '자다')",32
"('식감', '좋다')",32
"('배송', '빠르다')",30
"('궁채', '장아찌')",29
"('맛있다', '장아찌')",28
"('먹다', '장아찌')",27
"('먹다', '식감')",27
"('맛', '맛있다')",25
"('구매', '맛있다')",24
"('구매', '먹다')",23
"('고기', '먹다')",23
"('맛있다', '식감')",21
"('좋다', '주문')",20
"('먹다', '보다')",20
"('먹다', '좋아하다')",19
"('맛있다', '배송')",19
"('맛있다', '짜지다')",19
"('궁채', '좋다')",18
"('맛있다', '입맛')",16
"('먹다', '짜지다')",15
"('먹다', '보고')",15
"('궁채', '식감')",15
"('맛있다', '없다')",15
"('맛있다', '보다')",15
"('장아찌', '좋다')",15
"('맛있다', '좋아하다')",15
"('궁채', '좋아하다')",14
"('맛', '장아찌')",14
"('먹다', '집')",14
"('맛있다', '포장')",14
"('먹다', '없다')",14
"('궁채', '맛')",14
"('먹다', '반찬')",13
"('먹다', '밥')",13
"('먹다', '입맛')",13
"('먹다', '배송')",13
"('맛', '식감')",13
"('좋다', '짜지다')",13
"('좋아하다', '주문')",12
"('궁채', '주문')",12
"('맛', '주문')",12
"('고기', '맛있다')",12
"('나다', '맛')",12
"('좋다', '포장')",12
"('배송', '좋다')",12
"('깔끔하다', '맛있다')",12
"('맛있다', '아주')",12
"('맛있다', '진짜')",11
"('먹다', '진짜')",11
"('맛있다', '반찬')",11
"('장아찌', '주문')",11
"('재', '주문')",11
"('감사하다', '빠르다')",11
"('감사하다', '배송')",11
"('구매', '맛')",11
"('받다', '자다')",10
"('맛있다', '집')",10
"('감사하다', '맛있다')",10
"('없다', '입맛')",10
"('보다', '장아찌')",10
"('식감', '장아찌')",10
"('맛', '보다')",9
"('맛있다', '밥')",9
"('고기랑', '먹다')",9
"('맛있다', '의사')",9
"('궁채', '자다')",9
"('맛있다', '통')",9
"('맛있다', '짜다')",9
"('맛있다', '빠르다')",9
"('보고', '좋다')",9
"('자다', '좋다')",9
"('보다', '좋다')",9
"('배송', '자다')",9
"('맛있다', '처음')",9
"('궁채', '보다')",9
"('맛', '자다')",9
"('꼼꼼하다', '포장')",9
"('좋다', '좋아하다')",9
"('먹다', '항상')",9
"('주문', '짜지다')",9
"('주문', '집')",9
"('맛', '짜지다')",9
"('나다', '먹다')",8
"('아주', '좋다')",8
"('가족', '먹다')",8
"('식감', '주문')",8
"('드리다', '맛있다')",8
"('맛있다', '받다')",8
"('장아찌', '좋아하다')",8
"('맛있다', '부모님')",8
"('맛있다', '보고')",8
"('맛있다', '보내다')",8
"('먹다', '짜다')",8
"('먹다', '사다')",8
"('먹다', '빠르다')",8
"('맛', '잇다')",8
"('맛', '좋아하다')",8
"('보다', '식감')",8
"('강하다', '맛')",8
"('맛', '재')",7
"('맛', '포장')",7
"('고기', '좋다')",7
"('먹다', '짱아찌')",7
"('먹다', '최고')",7
"('빠르다', '좋다')",7
"('깔끔하다', '먹다')",7
"('김밥', '먹다')",7
"('먹다', '재')",7
"('넣다', '먹다')",7
"('깔끔하다', '포장')",7
"('자다', '좋아하다')",7
"('먹다', '자주')",7
"('맛있다', '자주')",7
"('금방', '먹다')",7
"('먹다', '오다')",7
"('맛있다', '재')",7
"('구매', '좋다')",7
"('밥', '좋다')",7
"('입맛', '좋다')",7
"('먹다', '한번')",7
"('먹다', '통')",7
"('맛있다', '항상')",7
"('먹다', '살짝')",7
"('먹다', '포장')",7
"('먹다', '정말')",7
"('맛있다', '정말')",7
"('넣다', '맛있다')",7
"('먹다', '재주')",7
"('먹다', '받다')",7
"('감사하다', '먹다')",7
"('자다', '주문')",7
"('식감', '좋아하다')",7
"('궁채', '최고')",7
"('엄마', '주문')",7
"('없다', '주문')",7
"('맛있다', '엄마')",7
"('맛있다', '양념')",6
"('궁채', '유리')",6
"('맛있다', '선물')",6
"('많다', '먹다')",6
"('맛있다', '살짝')",6
"('반찬', '자다')",6
"('먹다', '처음')",6
"('먹다', '아주')",6
"('보고', '주문')",6
"('궁채', '집')",6
"('맛있다', '콤달콤')",6
"('구매', '궁채')",6
"('구매', '재')",6
"('맛있다', '최고')",6
"('받다', '배송')",6
"('상태', '포장')",6
"('먹다', '추천')",6
"('맛', '믿다')",6
"('괜찮다', '좋다')",6
"('궁채', '짜지다')",6
"('먹다', '믿다')",6
"('맛있다', '추가')",6
"('맛있다', '사먹다')",6
"('먹다', '추가')",6
"('맛있다', '재주')",6
"('궁채', '밥')",6
"('맛', '보고')",6
"('보다', '좋아하다')",6
"('맛있다', '어울리다')",6
"('개', '먹다')",6
"('장아찌', '짜지다')",6
"('보다', '주문')",6
"('식감', '짜지다')",6
"('좋다', '짜다')",6
"('고기랑', '맛있다')",6
"('자다', '포장')",6
"('배송', '주문')",6
"('반찬', '밥')",6
"('김밥', '넣다')",6
"('깔끔하다', '맛')",6
"('맛있다', '적당하다')",6
"('부모님', '주문')",6
"('가족', '맛있다')",6
"('반찬', '좋다')",6
"('먹다', '사먹다')",6
"('깔끔하다', '주문')",5
"('괜찮다', '먹다')",5
"('먹다', '오도독')",5
"('고기', '주문')",5
